productid,avg_score,num_reviews
B0000DCXG0,5.0,3
B0000DCYLF,2.0,1
B0000DCYLH,5.0,1
B0000DCYLK,2.0,1
B0000DCYMM,5.0,2
B0000DCYMX,4.0,1
B0000DD8O9,1.0,2
B0000DD8P1,4.0,1
B0000DD8RB,3.0,1
B0000DD8VB,1.0,1
B0000DD8X6,5.0,1
B0000DD8Y6,4.0,5
B0000DD8YM,5.0,1
B0000DD8YP,5.0,1
B0000DD8ZK,5.0,1
B0000DD93T,3.0,1
B0000DDSC9,5.0,4
B0000DDSCE,5.0,1
B0000DDSDQ,5.0,2
B0000DDSDX,5.0,1
B0000DF3FA,5.0,1
B0000DF3H3,5.0,1
B0000DF3IX,5.0,1
B0000DF3M8,5.0,3
B0000DF3VH,5.0,1
B0000DF3WA,1.0,1
B0000DF3WB,1.0,1
B0000DF3Z7,4.0,1
B0000DF44P,3.0,2
B0000DF4BN,5.0,1
B0000DF4CD,5.0,2
B0000DG4AO,5.0,1
B0000DG4B3,4.25,4
B0000DG4BF,5.0,1
B0000DG4E7,5.0,4
B0000DG4E9,5.0,4
B0000DG4EJ,5.0,1
B0000DG4M5,5.0,1
B0000DG4MK,3.75,4
B0000DG4ML,1.0,1
B0000DG4MO,5.0,5
B0000DG4MS,5.0,1
B0000DG4MV,4.0,1
B0000DG4N7,4.6,5
B0000DG4N9,4.909090909090909,11
B0000DG4NJ,4.181818181818182,11
B0000DG4NK,4.2,5
B0000DG53S,5.0,1
B0000DG553,4.0,1
B0000DG554,1.0,1
B0000DG55B,4.5,2
B0000DG55K,5.0,1
B0000DG55L,4.0,1
B0000DG55M,5.0,5
B0000DG55P,5.0,4
B0000DG55U,4.75,4
B0000DG55X,4.5,2
B0000DG560,5.0,1
B0000DG563,5.0,1
B0000DG566,4.8,5
B0000DG56A,4.0,1
B0000DG56C,3.25,4
B0000DG56I,4.0,1
B0000DG56O,5.0,4
B0000DG56P,4.545454545454546,11
B0000DG573,3.0,2
B0000DG57K,5.0,2
B0000DG57P,5.0,1
B0000DG57Q,5.0,1
B0000DG57V,4.25,4
B0000DG57Y,5.0,1
B0000DG57Z,5.0,1
B0000DG586,4.125,8
B0000DG58C,5.0,1
B0000DG58Q,5.0,1
B0000DG58S,4.5,2
B0000DG58T,4.666666666666667,3
B0000DG58W,5.0,1
B0000DG596,4.333333333333333,3
B0000DG59Q,3.6666666666666665,3
B0000DG5A8,3.0714285714285716,14
B0000DG5AA,5.0,1
